2251473,recharge_model_282,2024-11-30 23:01:57,"lw00020,5"
3695695,recharge_model_282,2024-11-30 23:08:29,"lw00020,5"
3695695,recharge_model_282,2024-11-30 23:08:33,"lottery,2;lw00021,2"
6041608,recharge_model_282,2024-11-30 23:22:24,"lw00020,5"
6041608,recharge_model_282,2024-11-30 23:22:28,"lottery,2;lw00021,2"
3841478,recharge_model_282,2024-11-30 23:28:12,"lw00020,5"
6041608,recharge_model_282,2024-11-30 23:33:17,"lottery,5;lw00021,4"
3841478,recharge_model_282,2024-11-30 23:36:11,"lottery,2;lw00021,2"
6041608,recharge_model_282,2024-11-30 23:48:04,"lottery10,1;lw00021,4"
2101293,recharge_model_282,2024-11-30 23:55:47,"lw00020,5;lottery,2;lw00021,2;lottery,5;lw00021,4"
2101293,recharge_model_282,2024-11-30 23:59:03,"lottery10,1;lw00021,4"
9913854,recharge_model_282,2024-11-30 23:59:05,"lw00020,5"
9913854,recharge_model_282,2024-11-30 23:59:08,"lottery,2;lw00021,2;lottery,5;lw00021,4"
2101293,recharge_model_282,2024-12-01 00:02:01,"bq_311_emoji71,1;zb00055,1;lw00022,2"
6041608,recharge_model_282,2024-12-01 00:04:09,"bq_311_emoji71,1;zb00055,1;lw00022,2"
9913854,recharge_model_282,2024-12-01 00:06:55,"lottery10,1;lw00021,4"
6751293,recharge_model_282,2024-12-01 00:08:18,"lw00020,5"
9913854,recharge_model_282,2024-12-01 00:08:32,"bq_311_emoji71,1;zb00055,1;lw00022,2"
